environment,mode,fec,snr_db,frames,per,raw_ber,evm_rms,clipped_fraction
symbol_awgn,BPSK,none,6,100,0.98,0.00798371,0.501829,0
symbol_awgn,BPSK,none,12,100,0,0,0.25151,0
symbol_awgn,BPSK,none,18,100,0,0,0.126054,0
symbol_awgn,BPSK,none,24,100,0,0,0.0631765,0
symbol_awgn,BPSK,none,30,100,0,0,0.0316633,0
symbol_awgn,BPSK,none,36,100,0,0,0.0158692,0
symbol_awgn,BPSK,rs255223,6,100,0.38,0.00260384,0.501886,0
symbol_awgn,BPSK,rs255223,12,100,0,0,0.251539,0
symbol_awgn,BPSK,rs255223,18,100,0,0,0.126068,0
symbol_awgn,BPSK,rs255223,24,100,0,0,0.0631837,0
symbol_awgn,BPSK,rs255223,30,100,0,0,0.0316669,0
symbol_awgn,BPSK,rs255223,36,100,0,0,0.015871,0
symbol_awgn,QPSK,none,6,100,1,0.0221857,0.502565,0
symbol_awgn,QPSK,none,12,100,0.07,3.57143e-05,0.251879,0
symbol_awgn,QPSK,none,18,100,0,0,0.126239,0
symbol_awgn,QPSK,none,24,100,0,0,0.0632691,0
symbol_awgn,QPSK,none,30,100,0,0,0.0317097,0
symbol_awgn,QPSK,none,36,100,0,0,0.0158925,0
symbol_awgn,QPSK,rs255223,6,100,1,0.0214952,0.502562,0
symbol_awgn,QPSK,rs255223,12,100,0,4.06137e-05,0.251878,0
symbol_awgn,QPSK,rs255223,18,100,0,0,0.126238,0
symbol_awgn,QPSK,rs255223,24,100,0,0,0.0632689,0
symbol_awgn,QPSK,rs255223,30,100,0,0,0.0317095,0
symbol_awgn,QPSK,rs255223,36,100,0,0,0.0158924,0
symbol_awgn,64QAM,none,6,100,1,0.222055,0.506076,0
symbol_awgn,64QAM,none,12,100,1,0.106408,0.253639,0
symbol_awgn,64QAM,none,18,100,1,0.0222194,0.127121,0
symbol_awgn,64QAM,none,24,100,0.32,0.00019898,0.0637112,0
symbol_awgn,64QAM,none,30,100,0,0,0.0319313,0
symbol_awgn,64QAM,none,36,100,0,0,0.0160035,0
symbol_awgn,64QAM,rs255223,6,100,1,0.224504,0.504691,0
symbol_awgn,64QAM,rs255223,12,100,1,0.106855,0.252945,0
symbol_awgn,64QAM,rs255223,18,100,1,0.0224594,0.126773,0
symbol_awgn,64QAM,rs255223,24,100,0,0.000180505,0.0635368,0
symbol_awgn,64QAM,rs255223,30,100,0,0,0.0318438,0
symbol_awgn,64QAM,rs255223,36,100,0,0,0.0159597,0
symbol_awgn,16QAM,none,6,100,1,0.13157,0.494771,0
symbol_awgn,16QAM,none,12,100,1,0.0264286,0.247973,0
symbol_awgn,16QAM,none,18,100,0.22,0.000142857,0.124281,0
symbol_awgn,16QAM,none,24,100,0,0,0.062288,0
symbol_awgn,16QAM,none,30,100,0,0,0.031218,0
symbol_awgn,16QAM,none,36,100,0,0,0.015646,0
symbol_awgn,16QAM,rs255223,6,100,1,0.132231,0.495609,0
symbol_awgn,16QAM,rs255223,12,100,1,0.0263087,0.248393,0
symbol_awgn,16QAM,rs255223,18,100,0,0.00017148,0.124491,0
symbol_awgn,16QAM,rs255223,24,100,0,0,0.0623934,0
symbol_awgn,16QAM,rs255223,30,100,0,0,0.0312708,0
symbol_awgn,16QAM,rs255223,36,100,0,0,0.0156725,0
